event	hour	df delta
TS13.1	1329912000	-0.185331159153
TS13.1	1329915600	2.55054348973
TS13.1	1329919200	0.845074925078
TS13.1	1329922800	-0.110867183915
TS13.1	1329926400	-0.0912248656977
TS13.1	1329930000	-0.0417354026332
TS13.1	1329933600	-0.0951552979541
TS13.1	1329937200	-0.469707216195
TS13.1	1329940800	-0.651423370021
TS13.1	1329944400	-0.612055775834
TS13.1	1329948000	-0.632653349306
TS13.1	1329951600	-0.446031396844
TS13.1	1329955200	-0.00442547197409
TS13.1	1329958800	-0.47854885326
TS13.1	1329962400	0.770857935779
TS13.1	1329966000	-0.408256497013
TS13.1	1329969600	-0.276215385383
TS13.1	1329973200	-0.781571039223
TS13.1	1329976800	-0.0924168144409
TS13.1	1329980400	-0.724348086609
TS13.1	1329984000	0.0416263913502
TS13.1	1329987600	-0.622939828245
TS13.1	1329991200	-0.56363774599
TS13.1	1329994800	-0.680068322189
TS13.1	1329998400	-0.645289399595
TS13.1	1330002000	-0.721535329331
TS13.1	1330005600	-0.0734847760937
TS13.1	1330009200	0.299641037607
TS13.1	1330012800	-0.0912248656977
TS13.1	1330016400	-0.0866560903989
TS13.1	1330020000	-0.183536828935
TS13.1	1330023600	0.0195711340081
TS13.1	1330027200	0.0622874935479
TS13.1	1330030800	-0.612055775834
TS13.1	1330034400	-0.0920579177009
TS13.1	1330038000	0.0800569173823
TS13.1	1330041600	0.402717949643
TS13.1	1330045200	-0.47854885326
TS13.1	1330048800	-0.387542837915
TS13.1	1330052400	-0.021189783582
TS13.1	1330056000	-0.276215385383
TS13.1	1330059600	0.67523484341
TS13.1	1330063200	-0.0924168144409
TS13.1	1330066800	0.468440678765
TS13.1	1330070400	-0.71874902398
TS13.1	1330074000	-0.024127951094
TS13.1	1330077600	-0.56363774599
TS13.1	1330081200	-0.0731018066197
TS13.1	1330084800	-0.645289399595
TS13.1	1330088400	-0.721535329331
TS13.1	1330092000	2.68219432742
TS13.1	1330095600	-0.521375405436
TS13.1	1330099200	-0.31723241585
TS13.1	1330102800	0.00318528513248
TS13.1	1330106400	-0.183536828935
TS13.1	1330110000	-0.469707216195
TS13.1	1330113600	1.48970922069
TS13.1	1330117200	-0.0434228759882
TS13.1	1330120800	5.85449182996
TS13.1	1330124400	0.0800569173823
TS13.1	1330128000	-0.411568893591
TS13.1	1330131600	-0.47854885326
TS13.1	1330135200	-0.387542837915
TS13.1	1330138800	-0.408256497013
TS13.1	1330142400	0.290644547306
TS13.1	1330146000	-0.781571039223
TS13.1	1330149600	-0.609196552335
TS13.1	1330153200	-0.127953703922
TS13.1	1330156800	3.08312805267
TS13.1	1330160400	-0.622939828245
TS13.1	1330164000	-0.56363774599
TS13.1	1330167600	0.53386470895
TS13.1	1330171200	-0.185331159153
TS13.1	1330174800	-0.721535329331
TS13.1	1330178400	0.385795074492
TS13.1	1330182000	-0.521375405436
TS13.1	1330185600	-0.0912248656977
TS13.1	1330189200	-0.064195746516
TS13.1	1330192800	-0.006773766973
TS13.1	1330196400	-0.469707216195
TS13.1	1330200000	0.0622874935479
TS13.1	1330203600	-0.0434228759882
TS13.1	1330207200	0.448537513905
TS13.1	1330210800	0.0800569173823
TS13.1	1330214400	-0.00442547197409
TS13.1	1330218000	-0.47854885326
TS13.1	1330221600	18.1468695412
TS13.1	1330225200	-0.408256497013
TS13.1	1330228800	-0.276215385383
TS13.1	1330232400	-0.781571039223
TS13.1	1330236000	-0.0924168144409
TS13.1	1330239600	-0.724348086609
TS13.1	1330243200	0.0416263913502
TS13.1	1330246800	-0.024127951094
TS13.1	1330250400	-0.0348641904736
TS13.1	1330254000	-0.680068322189
TS13.1	1330257600	-0.185331159153
TS13.1	1330261200	0.587296198293
TS13.1	1330264800	-0.53276462668
TS13.1	1330268400	0.299641037607
TS13.1	1330272000	-0.0912248656977
TS13.1	1330275600	-0.0866560903989
TS13.1	1330279200	-0.0951552979541
TS13.1	1330282800	0.0195711340081
TS13.1	1330286400	0.775998357117
TS13.1	1330290000	-0.612055775834
TS13.1	1330293600	0.448537513905
TS13.1	1330297200	0.0800569173823
TS13.1	1330300800	-0.411568893591
TS13.1	1330304400	1.15227624184
TS13.1	1330308000	-0.387542837915
TS13.1	1330311600	0.75294364328
TS13.1	1330315200	-0.276215385383
TS13.1	1330318800	-0.781571039223
TS13.1	1330322400	-0.0924168144409
TS13.1	1330326000	8.2215676537
TS13.1	1330329600	-0.71874902398
TS13.1	1330333200	-0.622939828245
TS13.1	1330336800	-0.0348641904736
TS13.1	1330340400	-0.0731018066197
TS13.1	1330344000	-0.185331159153
TS13.1	1330347600	0.587296198293
TS13.1	1330351200	-0.53276462668
TS13.1	1330354800	-0.110867183915
TS13.1	1330358400	-0.0912248656977
TS13.1	1330362000	-0.064195746516
TS13.1	1330365600	-0.006773766973
TS13.1	1330369200	-0.469707216195
TS13.1	1330372800	0.775998357117
TS13.1	1330376400	-0.612055775834
TS13.1	1330380000	-0.0920579177009
TS13.1	1330383600	0.0800569173823
TS13.1	1330387200	0.402717949643
TS13.1	1330390800	-0.0708425794855
TS13.1	1330394400	3.08765948317
TS13.1	1330398000	-0.408256497013
TS13.1	1330401600	-0.0872620744867
TS13.1	1330405200	-0.781571039223
TS13.1	1330408800	0.424362923453
TS13.1	1330412400	-0.724348086609
TS13.1	1330416000	0.802001806681
TS13.1	1330419600	-0.622939828245
TS13.1	1330423200	0.493909365043
TS13.1	1330426800	-0.680068322189
TS13.1	1330430400	-0.185331159153
TS13.1	1330434000	-0.0671195655192
TS13.1	1330437600	-0.0734847760937
TS13.1	1330441200	0.299641037607
TS13.1	1330444800	0.134782684454
TS13.1	1330448400	-0.0866560903989
TS13.1	1330452000	-0.0951552979541
TS13.1	1330455600	-0.469707216195
TS13.1	1330459200	2.20342008426
TS13.1	1330462800	0.525210023857
TS13.1	1330466400	-0.632653349306
TS13.1	1330470000	-0.446031396844
TS13.1	1330473600	-0.00442547197409
TS13.1	1330477200	0.336863694288
TS13.1	1330480800	-0.387542837915
TS13.1	1330484400	0.75294364328
TS13.1	1330488000	-0.276215385383
TS13.1	1330491600	-0.781571039223
TS13.1	1330495200	8.69283872975
TS13.1	1330498800	-0.724348086609
TS13.1	1330502400	0.802001806681
TS13.1	1330506000	-0.622939828245
TS13.1	1330509600	-0.0348641904736
TS13.1	1330513200	0.53386470895
TS13.1	1330516800	-0.645289399595
TS13.1	1330520400	-0.0671195655192
TS13.1	1330524000	-0.0734847760937
TS13.1	1330527600	-0.110867183915
TS13.1	1330531200	0.134782684454
TS13.1	1330534800	-0.0866560903989
TS13.1	1330538400	-0.0951552979541
TS13.1	1330542000	0.0195711340081
TS13.1	1330545600	0.0622874935479
TS13.1	1330549200	0.525210023857
TS13.1	1330552800	-0.632653349306
TS13.1	1330556400	0.0800569173823
TS13.1	1330560000	0.402717949643
TS13.1	1330563600	-0.47854885326
TS13.1	1330567200	-0.00140924668333
TS13.1	1330570800	0.365876929849
TS13.1	1330574400	-0.276215385383
TS13.1	1330578000	-0.0531680979063
TS13.1	1330581600	0.424362923453
TS13.1	1330585200	-0.724348086609
